date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2000-01-01,-0.6,-1.7,0.4,,30,226,11.1,,1025.4,
2000-01-02,1,-0.7,3.1,,41,263,13.8,,1029,
2000-01-03,0.1,-1.1,1.1,0,30,242,22.8,,1028.1,
2000-01-04,1.9,0.1,3.7,,20,229,25.5,,1021.9,
2000-01-05,2.7,-1.2,5.1,,,254,19.4,,1021.9,
2000-01-06,-2.1,,,,,,,,,
2000-01-07,1.3,-4.4,3.1,,,231,9.5,,1026,
2000-01-08,1.6,0.3,3.9,0,,,8.4,,1024.7,
2000-01-09,0.2,-1.2,1.7,,,,6.6,,1025.9,
2000-01-10,-0.4,-1.3,1,1,20,,4.7,,1035.1,
2000-01-11,-1.3,-4.9,0.2,0,,,4.5,,1040.4,
2000-01-12,-4.4,-6.6,-1.1,0,,169,10.2,,1036.8,
2000-01-13,-4.6,-6.4,-4.1,,,160,12.6,,1027.9,
2000-01-14,-4.6,-5.7,-4,,,,7.4,,1027.1,
2000-01-15,-3.2,-6.1,0.2,0,,,,,,
2000-01-16,-1.7,-5.3,0.7,1.5,,261,15.6,,1033,
2000-01-17,2.9,-1.4,6,1.5,,267,34,,,
2000-01-18,2.2,-0.4,4.5,2,,312,34.3,,,
2000-01-19,-0.7,-1.7,-0.1,1.5,20,309,27.5,,1022.6,
2000-01-20,-0.7,-4.6,1.8,,,264,30.5,,1023.8,
2000-01-21,-1.4,-6.1,2.1,3,,307,32.8,,1014.4,
2000-01-22,-2.9,-6.5,-0.5,1.8,51,,10.7,,1013.7,
2000-01-23,-6.9,-14.2,-3.1,1.5,79,355,14.8,,1014.4,
2000-01-24,-10.2,-15.3,-5.7,,79,287,12,,1025,
2000-01-25,-10,-13,-6.3,1.5,71,247,12.6,,1030.6,
2000-01-26,-6.3,-10.9,-3,,71,244,29,,,
2000-01-27,-1.6,-3.5,0.4,0,61,247,26.3,,1028.6,
2000-01-28,-2.3,-6.4,1.2,0,51,235,28.7,,1021.1,
2000-01-29,3.2,-1.7,5,0,41,236,43.1,,1005.5,
2000-01-30,4.4,2.5,6.3,6.9,,270,31.5,,1007.6,
2000-01-31,7.3,2.7,8.6,2.5,,255,32.4,,1016.9,
2000-02-01,6.4,4.1,9.6,,,244,23.3,,1021.4,
2000-02-02,6.9,3.2,9.9,0,,257,23.1,,1014.8,
2000-02-03,3.1,0.9,5.8,2,,285,27.2,,,
2000-02-04,2.3,-1.1,5.2,,,243,25.1,,1034.5,
2000-02-05,6.1,3.6,9.4,,,247,26.7,,1029.1,
2000-02-06,7.4,4,13.6,0,,218,14.4,,1025.1,
2000-02-07,6.2,2.7,9.4,0,,229,21.9,,,
2000-02-08,7.9,4.5,10.3,1.8,,240,37.4,,1008.2,
2000-02-09,4.2,2.3,9.6,1.5,,272,33.2,,1013.4,
2000-02-10,3.7,1,6.5,,,242,21.2,,1023.6,
2000-02-11,2.9,0,5.1,1.8,,263,13.4,,1026.5,
2000-02-12,1.3,-1,3.9,,,202,12.7,,,
2000-02-13,2.4,-0.1,6.2,0,,246,28.3,,1018.2,
2000-02-14,1.1,-0.7,4.7,0.3,10,263,23.1,,1021.4,
2000-02-15,3.4,-1.3,7.3,1.3,,224,19.1,,1015.5,
2000-02-16,3.2,-0.1,8,1.3,,225,22.2,,1003.7,
2000-02-17,-0.2,-2.9,3,1.5,,255,17.8,,1005.4,
2000-02-18,-0.3,-3.4,3.3,0.8,,223,17.4,,1010.7,
